City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,297.45,97,100,3.23,IN,1723059239
1,masuguru,-11.3667,38.4167,295.65,51,4,2.51,TZ,1723059240
2,olonkinbyen,70.9221,-8.7187,279.32,100,100,4.14,SJ,1723059242
3,tolanaro,-25.0319,46.9987,295.19,73,75,7.2,MG,1723059243
4,hilo,19.7297,-155.09,300.42,79,0,2.57,US,1723059138
5,port-aux-francais,-49.35,70.2167,274.14,98,100,12.28,TF,1723059246
6,manaure,11.7751,-72.4445,301.79,76,77,7.8,CO,1723059247
7,punta arenas,-53.15,-70.9167,275.21,87,0,4.63,CL,1723059249
8,waitangi,-43.9535,-176.5597,283.05,69,18,6.97,NZ,1723059250
9,port elizabeth,-33.918,25.5701,287.77,56,0,1.03,ZA,1723059251
10,ilulissat,69.2167,-51.1,278.16,93,75,2.57,GL,1723059254
11,tralee,52.2704,-9.7026,287.42,94,98,1.84,IE,1723059255
12,olyokminsk,60.3736,120.4264,284.33,69,19,1.69,RU,1723059257
13,arias,-33.6441,-62.4027,287.25,33,18,8.07,AR,1723059258
14,grytviken,-54.2811,-36.5092,267.48,72,19,4.5,GS,1723059260
15,greymouth,-42.4667,171.2,281.92,84,97,6.94,NZ,1723059261
16,sur,22.5667,59.5289,301.39,73,51,5.78,OM,1723059262
17,nouadhibou,20.931,-17.0347,297.14,73,60,5.66,MR,1723059264
18,ketchikan,55.3422,-131.6461,290.56,54,0,1.78,US,1723059265
19,pangai,-19.8,-174.35,295.21,64,75,4.12,TO,1723059266
20,island harbour,50.724,-1.2758,292.16,76,100,0.89,GB,1723059268
21,kaa-khem,51.6833,94.7333,287.81,65,40,1.8,RU,1723059269
22,adamstown,-25.066,-130.1015,291.93,65,24,3.47,PN,1723059271
23,hithadhoo,-0.6,73.0833,301.81,70,100,2.03,MV,1723059272
24,bethel,41.3712,-73.414,292.7,87,100,3.09,US,1723059273
25,kavaratti,10.5669,72.642,300.53,83,100,5.9,IN,1723059275
26,sidi akkacha,36.4647,1.3026,310.31,59,5,1.16,DZ,1723059276
27,columbine,39.5878,-105.0694,306.08,35,75,1.79,US,1723059081
